Year,State Name,Average_Maize_Yield_Kg_per_ha
1968,Andhra Pradesh,737.7345454545455
1968,Karnataka,1476.378947368421
1968,Maharashtra,0.0
1968,Punjab,1390.7945454545456
1968,Rajasthan,371.5284615384616
1968,Tamil Nadu,537.8916666666665
1968,Telangana,848.6722222222222
1969,Andhra Pradesh,1024.040909090909
1969,Chhattisgarh,913.3433333333332
1969,Gujarat,640.4122222222223
1969,Haryana,854.034
1969,Karnataka,2555.6426315789477
1969,Madhya Pradesh,694.29
1969,Maharashtra,0.0
1969,Punjab,1396.0545454545454
1969,Rajasthan,346.5065384615384
1969,Tamil Nadu,638.2883333333333
1969,Telangana,1126.2055555555555
1970,Andhra Pradesh,1242.1054545454544
1970,Chhattisgarh,1413.5133333333333
1970,Himachal Pradesh,1808.0289999999998
1970,Karnataka,3147.6400000000003
1970,Madhya Pradesh,1079.6567567567567
1970,Maharashtra,0.0
1970,Punjab,1504.4372727272728
1970,Rajasthan,882.2865384615386
1970,Telangana,1157.86
1971,Andhra Pradesh,1020.4636363636363
1971,Chhattisgarh,1098.1833333333336
1971,Gujarat,1438.0194444444446
1971,Himachal Pradesh,1247.538
1971,Karnataka,2630.875789473684
1971,Madhya Pradesh,876.0959459459458
1971,Maharashtra,0.0
1971,Punjab,1520.29
1971,Rajasthan,541.1357692307691
1971,Tamil Nadu,699.6266666666667
1971,Telangana,893.5411111111111
1972,Andhra Pradesh,1031.8727272727274
1972,Chhattisgarh,1181.3716666666667
1972,Gujarat,1170.3772222222221
1972,Haryana,866.8133333333334
1972,Himachal Pradesh,1536.895
1972,Karnataka,2485.1268421052628
1972,Madhya Pradesh,936.291891891892
1972,Maharashtra,335.5308
1972,Punjab,1513.5390909090909
1972,Rajasthan,563.4046153846155
1972,Tamil Nadu,688.6433333333334
1972,Telangana,809.3299999999999
1973,Andhra Pradesh,1459.729090909091
1973,Chhattisgarh,1144.635
1973,Gujarat,704.1722222222222
1973,Himachal Pradesh,1642.5700000000002
1973,Karnataka,3090.923157894737
1973,Madhya Pradesh,740.1337837837837
1973,Maharashtra,566.4226923076924
1973,Punjab,1303.471818181818
1973,Rajasthan,360.3157692307692
1973,Tamil Nadu,636.7541666666667
1973,Telangana,1470.9299999999998
1974,Andhra Pradesh,1451.9018181818183
1974,Chhattisgarh,1072.1683333333333
1974,Gujarat,759.3272222222222
1974,Himachal Pradesh,1719.718
1974,Karnataka,2451.12
1974,Madhya Pradesh,809.8456756756756
1974,Maharashtra,587.0734615384615
1974,Punjab,1701.24
1974,Rajasthan,344.17038461538453
1974,Tamil Nadu,635.6891666666667
1974,Telangana,1587.8322222222223
1975,Andhra Pradesh,1641.4454545454546
1975,Assam,606.3829999999999
1975,Chhattisgarh,1021.2533333333334
1975,Himachal Pradesh,1717.6269999999997
1975,Karnataka,2751.3694736842103
1975,Madhya Pradesh,1005.9494594594591
1975,Maharashtra,1022.0334615384616
1975,Punjab,1328.4127272727274
1975,Rajasthan,653.6780769230768
1975,Tamil Nadu,593.4816666666667
1975,Telangana,1582.7633333333333
1976,Andhra Pradesh,1310.2272727272727
1976,Chhattisgarh,1024.105
1976,Gujarat,719.7994444444444
1976,Haryana,683.0814285714285
1976,Himachal Pradesh,1562.4190000000003
1976,Karnataka,2327.395
1976,Madhya Pradesh,1170.36972972973
1976,Maharashtra,1445.4646153846156
1976,Punjab,1041.8500000000001
1976,Rajasthan,564.5484615384614
1976,Tamil Nadu,626.8441666666666
1976,Telangana,1006.9655555555554
1977,Andhra Pradesh,1490.5436363636363
1977,Chhattisgarh,854.17
1977,Gujarat,667.4988888888889
1977,Himachal Pradesh,1615.4070000000002
1977,Karnataka,2770.562222222222
1977,Madhya Pradesh,836.0345945945948
1977,Maharashtra,1310.361153846154
1977,Punjab,1417.2381818181814
1977,Rajasthan,358.37807692307695
1977,Tamil Nadu,631.2458333333333
1977,Telangana,1358.0633333333335
1978,Andhra Pradesh,1328.841818181818
1978,Chhattisgarh,954.1750000000001
1978,Gujarat,952.6522222222223
1978,Himachal Pradesh,1505.0130000000001
1978,Karnataka,2652.19
1978,Madhya Pradesh,856.6432432432431
1978,Maharashtra,1396.190769230769
1978,Punjab,1507.4445454545455
1978,Rajasthan,708.9315384615384
1978,Tamil Nadu,661.5766666666667
1978,Telangana,1042.4388888888889
1979,Andhra Pradesh,1257.5754545454545
1979,Chhattisgarh,1010.4566666666666
1979,Gujarat,560.8055555555555
1979,Karnataka,2921.6949999999997
1979,Madhya Pradesh,675.5551351351352
1979,Maharashtra,1926.1615384615386
1979,Punjab,1607.0454545454545
1979,Rajasthan,538.3346153846153
1979,Tamil Nadu,646.8616666666667
1979,Telangana,1043.4866666666667
1979,Uttar Pradesh,570.7655555555557
1980,Andhra Pradesh,1733.3336363636363
1980,Chhattisgarh,971.3666666666668
1980,Gujarat,907.8327777777778
1980,Haryana,713.0980000000001
1980,Himachal Pradesh,1679.6239999999998
1980,Karnataka,2772.5883333333336
1980,Madhya Pradesh,909.3470270270269
1980,Maharashtra,1728.6538461538462
1980,Punjab,1575.158
1980,Rajasthan,564.6365384615384
1980,Tamil Nadu,700.0441666666666
1980,Telangana,1788.3666666666666
1981,Andhra Pradesh,2818.181818181818
1981,Chhattisgarh,973.6983333333333
1981,Gujarat,1025.996666666667
1981,Himachal Pradesh,1623.958
1981,Karnataka,2752.1122222222225
1981,Madhya Pradesh,968.3608108108108
1981,Maharashtra,1614.897692307692
1981,Punjab,1744.59
1981,Rajasthan,492.2265384615384
1981,Tamil Nadu,604.3158333333333
1981,Telangana,1592.2233333333334
1981,Uttar Pradesh,670.2228260869564
1982,Andhra Pradesh,3262.3372727272726
1982,Chhattisgarh,1090.8116666666667
1982,Gujarat,825.8466666666667
1982,Himachal Pradesh,1433.924
1982,Karnataka,2880.1494736842105
1982,Madhya Pradesh,1035.635135135135
1982,Maharashtra,1413.815769230769
1982,Rajasthan,618.3176923076924
1982,Tamil Nadu,1615.14
1982,Telangana,2191.521111111111
1982,Uttar Pradesh,575.5160869565218
1983,Andhra Pradesh,4045.632727272727
1983,Chhattisgarh,1324.21
1983,Gujarat,1400.6916666666666
1983,Himachal Pradesh,1929.02
1983,Karnataka,2712.246842105263
1983,Madhya Pradesh,1290.625405405405
1983,Maharashtra,1288.333076923077
1983,Punjab,1739.5436363636366
1983,Rajasthan,856.8253846153847
1983,Tamil Nadu,1807.5208333333333
1983,Telangana,1394.1066666666666
1983,Uttar Pradesh,783.9993478260869
1984,Andhra Pradesh,1553.7172727272728
1984,Chhattisgarh,1208.645
1984,Gujarat,959.3166666666667
