Year,State Name,Total_Rice_Production_kg,Total_Wheat_Production_kg
2008,Andhra Pradesh,8880610000.0,710000.0
2008,Haryana,3299000000.0,11360000000.0
2008,Madhya Pradesh,1036930000.0,7272200000.0
2008,Punjab,11000000000.0,15733000000.0
2008,Rajasthan,241100000.0,7287100000.0
2008,Tamil Nadu,5183370000.0,0.0
2008,Uttar Pradesh,13080930000.0,29110930000.0
2008,West Bengal,15037300000.0,764500000.0
2009,Andhra Pradesh,7569100000.0,430000.0
2009,Haryana,3628000000.0,10488000000.0
2009,Madhya Pradesh,1355600000.0,8865300000.0
2009,Punjab,11236000000.0,15169000000.0
2009,Rajasthan,228290000.0,7500840000.0
2009,Tamil Nadu,5665270000.0,0.0
2009,Uttar Pradesh,11840150000.0,27910800000.0
2009,West Bengal,14340600000.0,846700000.0
2010,Andhra Pradesh,7933090000.0,1070000.0
2010,Haryana,3465000000.0,11578000000.0
2010,Madhya Pradesh,1766600000.0,9219800000.0
2010,Punjab,10819000000.0,16472000000.0
2010,Rajasthan,265550000.0,10424380000.0
2010,Tamil Nadu,5792440000.0,0.0
2010,Uttar Pradesh,12363540000.0,30602910000.0
2010,West Bengal,13389620000.0,874420000.0
2011,Andhra Pradesh,7744170000.0,360000.0
2011,Haryana,3757000000.0,13119000000.0
2011,Madhya Pradesh,2220400000.0,12226240000.0
2011,Punjab,10542000000.0,17782000000.0
2011,Rajasthan,253390000.0,10160920000.0
2011,Tamil Nadu,6971200000.0,0.0
2011,Uttar Pradesh,13949630000.0,32271690000.0
2011,West Bengal,14610280000.0,872900000.0
2012,Andhra Pradesh,6862750000.0,570000.0
2012,Haryana,3941000000.0,11117000000.0
2012,Madhya Pradesh,2971140000.0,16510600000.0
2012,Punjab,11390000000.0,16614000000.0
2012,Rajasthan,222530000.0,10766620000.0
2012,Tamil Nadu,4050350000.0,0.0
2012,Uttar Pradesh,13182310000.0,29041280000.0
2012,West Bengal,14946740000.0,895930000.0
2013,Andhra Pradesh,7993450000.0,250000.0
2013,Haryana,4041000000.0,11800000000.0
2013,Madhya Pradesh,3321730000.0,15722750000.0
2013,Punjab,11267000000.0,17620000000.0
2013,Rajasthan,312590000.0,11020190000.0
2013,Tamil Nadu,7115200000.0,0.0
2013,Uttar Pradesh,14588970000.0,31611630000.0
2013,West Bengal,15376880000.0,927860000.0
2014,Andhra Pradesh,8455590000.0,260000.0
2014,Haryana,3989000000.0,10457000000.0
2014,Madhya Pradesh,3522660000.0,18463000000.0
2014,Punjab,11107000000.0,15050000000.0
2014,Rajasthan,366680000.0,9823910000.0
2014,Tamil Nadu,7949470000.0,0.0
2014,Uttar Pradesh,13346030000.0,20146360000.0
2014,West Bengal,15927200000.0,939260000.0
2015,Andhra Pradesh,7518290000.0,110000.0
2015,Haryana,4144000000.0,11351000000.0
2015,Madhya Pradesh,3412660000.0,18407000000.0
2015,Punjab,11823000000.0,16077000000.0
2015,Rajasthan,369790000.0,10468190000.0
2015,Tamil Nadu,7374710000.0,0.0
2015,Uttar Pradesh,12531730000.0,27010390000.0
2015,West Bengal,15948260000.0,788490000.0
2016,Andhra Pradesh,8002340000.0,70000.0
2016,Haryana,4453000000.0,12384000000.0
2016,Madhya Pradesh,5499210000.0,21916000000.0
2016,Punjab,12638000000.0,17636000000.0
2016,Rajasthan,452690000.0,12430940000.0
2016,Tamil Nadu,6071010000.0,0.0
2016,Uttar Pradesh,14500800000.0,35120900000.0
2016,West Bengal,15106320000.0,858530000.0
2017,Andhra Pradesh,8461340000.0,40000.0
2017,Haryana,4880000000.0,12263000000.0
2017,Madhya Pradesh,4899060000.0,20019950000.0
2017,Punjab,13382000000.0,17830000000.0
2017,Rajasthan,450930000.0,11280480000.0
2017,Tamil Nadu,6905960000.0,0.0
2017,Uttar Pradesh,15551390000.0,35798600000.0
2017,West Bengal,15658940000.0,359130000.0
