Dist Name,Crop,Correlation
24 Parganas,RICE,0.016286904634547253
Adilabad,RICE,0.8091664807790929
Agra,RICE,0.971903753175292
Ahmedabad,RICE,0.9331578534849186
Ahmednagar,RICE,0.7933087364077567
Ajmer,RICE,0.8898763628951784
Akola,RICE,0.8381221636330435
Alappuzha,RICE,0.6681131758539062
Aligarh,RICE,0.986575016528377
Allahabad,RICE,0.8104243628250959
Almorah,RICE,0.2646898640282615
Alwar,RICE,0.7872464318800753
Amarawati,RICE,0.6752507049736304
Ambala,RICE,0.9732588765000161
Amreli,RICE,0.8773413428427189
Amritsar,RICE,0.9778508927975844
Ananthapur,RICE,0.742951753368983
Aurangabad,RICE,0.8487132497199559
Azamgarh,RICE,0.8194523796317233
Bahraich,RICE,0.4128503953064496
Balaghat,RICE,0.6718309869711921
Balasore,RICE,-0.4332858006057401
Ballia,RICE,0.6212633187425673
Banaskantha,RICE,0.811244148723302
Banda,RICE,0.3069282263092587
Bangalore,RICE,0.8584737625589424
Bankura,RICE,0.6856528807482525
Banswara,RICE,0.2123125377461984
Barabanki,RICE,0.7447967922692975
Bareilly,RICE,0.8502363691824372
Bastar,RICE,0.7023452087422807
Basti,RICE,0.067112659573917
Beed,RICE,0.8156171014782708
Belgaum,RICE,0.3560656969520895
Bellary,RICE,0.9888523853097699
Betul,RICE,0.6810795456577193
Bhagalpur,RICE,0.20914957107652726
Bhandara,RICE,0.7390993386363057
Bharatpur,RICE,0.5237490549641469
Bharuch,RICE,0.7643739295272712
Bhatinda,RICE,0.9892277758547231
Bhavnagar,RICE,0.7875018980319718
Bhilwara,RICE,0.905909242906971
Bhind,RICE,0.7246578466937642
Bidar,RICE,0.5382731340051218
Bijapur / Vijayapura,RICE,0.884974360778168
Bijnor,RICE,0.20385716127343842
Bikaner,RICE,0.7360475773473873
Bilashpur,RICE,0.5839307679449621
Bilaspur,RICE,0.7270604460868004
Birbhum,RICE,0.7418189353715755
Bolangir,RICE,0.35923547721344234
Bombay,RICE,0.8741476130286098
Budaun,RICE,0.9435928397872333
Buland Shahar,RICE,0.9910478912641922
Buldhana,RICE,0.7729737763619922
Bundi,RICE,0.8220250597672745
Burdwan,RICE,0.7735353559329851
Cachar,RICE,0.4983632224595724
Chamba,RICE,0.7361939126162332
Chamoli,RICE,0.7536078284755758
Champaran,RICE,0.15331823689727925
Chandrapur,RICE,0.5036274776487966
Chengalpattu MGR / Kanchipuram,RICE,0.0998497269686907
Chhatarpur,RICE,0.6981996040449112
Chhindwara,RICE,0.28341257628662425
Chickmagalur,RICE,0.5178403622580684
Chitradurga,RICE,0.9887252095528515
Chittoor,RICE,0.8094317446791438
Chittorgarh,RICE,0.04672703493664133
Coimbatore,RICE,0.6191301497263613
Cooch Behar,RICE,-0.3935783103819181
Cuttack,RICE,-0.27683809265533027
Dakshina Kannada,RICE,0.06716404427611844
Damoh,RICE,0.8950226232198267
Dangs,RICE,0.8905439070946864
Darbhanga,RICE,0.5361581159085351
Darjeeling,RICE,-0.02442757020314711
Darrang,RICE,0.6022508584558367
Datia,RICE,0.9314169326492128
Dehradun,RICE,0.7002042039125914
Deoria,RICE,0.47754265166519216
Dewas,RICE,0.9398852208776662
Dhanbad,RICE,0.6398774421944101
Dhar,RICE,0.8817592552696198
Dharwad,RICE,0.09456908394745323
Dhenkanal,RICE,-0.07905583896506337
Dhule,RICE,0.6295396483895475
Dibrugarh,RICE,0.30386578405435505
Dungarpur,RICE,0.7049755236237669
Durg,RICE,0.8133194052262075
East Godavari,RICE,0.6263190148496052
Eranakulam,RICE,0.996635671289224
Etah,RICE,0.7156404918855258
Etawah,RICE,0.919071091585829
Faizabad,RICE,0.920305558372287
Farrukhabad,RICE,0.6576452268428173
Fatehpur,RICE,0.40230374461513857
Ferozpur,RICE,0.990425248613382
Ganganagar,RICE,0.8799523060496613
Ganjam,RICE,0.3814229722637205
Garhwal,RICE,0.869754837014349
Gaya,RICE,0.4820048278487893
Ghazipur,RICE,0.834407701250833
Goalpara,RICE,-0.5550728639859597
Gonda,RICE,-0.13263118589673525
Gorakhpur,RICE,0.5744162440201602
Gulbarga / Kalaburagi,RICE,0.9611999278364204
Guna,RICE,0.5973780614645181
Guntur,RICE,0.3945774500993816
Gurdaspur,RICE,0.9677978681699977
Gurgaon,RICE,0.9899825297772875
Gwalior,RICE,0.9031439669887961
Hamirpur,RICE,0.717458116481103
Hardoi,RICE,0.9293730850784081
Hassan,RICE,0.7219972171903617
Hazaribagh,RICE,0.6030237371944575
Hissar,RICE,0.9862787868939008
Hooghly,RICE,0.6352971784382766
Hoshangabad,RICE,0.9866623012084716
Hoshiarpur,RICE,0.9886642334303023
Howrah,RICE,0.3595483695959352
Hyderabad,RICE,0.6983426116623328
Indore,RICE,0.6156575349495655
Jabalpur,RICE,0.7695165332309928
Jaipur,RICE,0.9937756660252894
Jalandhar,RICE,0.9896938343642072
Jalaun,RICE,0.43181127290979815
Jalgaon,RICE,0.8897579556442111
Jalore,RICE,0.9819805060619657
Jalpaiguri,RICE,-0.6644980387291091
Jamnagar,RICE,0.9310825662046646
Jaunpur,RICE,0.8619113207806205
Jhabua,RICE,-0.04985874947679971
Jhalawar,RICE,0.8654787373970462
Jhansi,RICE,0.09407766732654434
Jind,RICE,0.9448334877160661
Junagadh,RICE,0.8507330116652017
Kadapa YSR,RICE,0.43917207997138474
Kalahandi,RICE,0.3247755036661845
Kamrup,RICE,-0.2113769759387376
Kangra,RICE,-0.12204718191823924
Kannur,RICE,0.9961874371702274
Kanpur,RICE,0.20600936085802196
Kanyakumari,RICE,0.592775667855263
Kapurthala,RICE,0.9699376323583101
Karbi Anglong,RICE,0.7625050574170992
Karimnagar,RICE,0.9796009033814373
Karnal,RICE,0.9020334555757366
Keonjhar,RICE,-0.33651655281242826
Khammam,RICE,0.9284475614890733
Khandwa / East Nimar,RICE,0.8303506300183326
Khargone / West Nimar,RICE,0.8216732904545538
Kheda,RICE,0.9527586915848436
Kheri,RICE,0.502549864746517
Kinnaur,RICE,0.7572971823018111
Kodagu / Coorg,RICE,0.42115249049573256
Kolar,RICE,0.9127821895476311
Kolhapur,RICE,0.850009155807898
Kollam,RICE,0.9966289119221025
Koraput,RICE,0.2096328804472517
Kota,RICE,0.957908328242028
Kottayam,RICE,0.9120069584664294
Kozhikode,RICE,0.9844911341337661
Krishna,RICE,0.25497183520281713
Kullu,RICE,0.7799354059869756
Kurnool,RICE,0.6895564025499044
Lakhimpur,RICE,0.6927634523542284
Lucknow,RICE,0.5697591394908051
Ludhiana,RICE,0.97900336179222
Madurai,RICE,0.5465387315926522
Mahabubnagar,RICE,0.855335705671701
Mahendragarh / Narnaul,RICE,0.9626250649183278
Mainpuri,RICE,0.9052369662531329
Malappuram,RICE,0.9961008528701385
Malda,RICE,-0.1978265228879228
Mandi,RICE,0.07990258920020826
Mandla,RICE,0.6703077662734918
Mandsaur,RICE,0.6938123252828526
Mandya,RICE,0.801125265870909
Mathura,RICE,0.981767755613801
Mayurbhanja,RICE,-0.0434772119444394
Medak,RICE,0.855739119312733
Meerut,RICE,0.9647899529655299
Mehsana,RICE,0.8623562631129669
Midnapur,RICE,0.3282534967656419
Mirzpur,RICE,0.5139922848065633
Moradabad,RICE,0.8550958689589914
Morena,RICE,0.958146982930534
Mungair,RICE,0.6126041051062071
Murshidabad,RICE,0.7283648287497729
Muzaffarnagar,RICE,0.8455638397196069
Muzaffarpur,RICE,-0.01841708498732186
Mysore,RICE,0.9588458564573394
Nadia,RICE,0.7116749718901781
Nagaon,RICE,0.2859724904050586
Nagpur,RICE,0.8912714427994008
Nainital,RICE,0.7486515452030904
Nalgonda,RICE,0.8917928778882319
Nanded,RICE,0.7803876833998799
Narsinghpur,RICE,0.9181558602292302
Nasik,RICE,0.7581608527301353
Nizamabad,RICE,0.9405056672336933
North Arcot / Vellore,RICE,0.5974691322017147
North Cachar Hil / Dima hasao,RICE,0.6599168957110976
Osmanabad,RICE,0.6157729815201869
Palakkad,RICE,0.9055882228962244
Palamau,RICE,0.5487931076206188
Pali,RICE,0.9959252174668128
Panchmahal,RICE,0.5046787107213502
Panna,RICE,0.5143760707813619
Parbhani,RICE,0.7590118867743884
Patiala,RICE,0.9730691618218122
Patna,RICE,0.3343799763296846
Phulbani ( Kandhamal ),RICE,0.17284108296349707
Pilibhit,RICE,0.7765173625534111
