item_id,category,price,content_tags
I_0000,Electronics,76.23,"country, hot, position"
I_0001,Fashion,39.91,"six, soldier, dream"
I_0002,Books,36.5,"history, drop, point"
I_0003,Books,42.57,"audience, thousand, activity"
I_0004,Fashion,30.73,"guess, first, hit"
I_0005,Electronics,33.36,"stuff, inside, national"
I_0006,Electronics,20.71,"common, likely, would"
I_0007,Electronics,18.16,"authority, onto, add"
I_0008,Beauty,14.9,"democratic, two, we"
I_0009,Home,10.87,"huge, expert, Republican"
I_0010,Electronics,16.38,"short, interest, I"
I_0011,Home,28.81,"policy, Mrs, check"
I_0012,Home,35.96,"base, bad, TV"
I_0013,Books,26.65,"window, choice, force"
I_0014,Fashion,5.03,"only, shake, power"
I_0015,Beauty,116.71,"poor, financial, join"
I_0016,Home,78.98,"well, draw, each"
I_0017,Beauty,47.3,"under, break, partner"
I_0018,Books,152.32,"area, program, price"
I_0019,Electronics,15.15,"compare, actually, case"
I_0020,Home,149.92,"activity, market, get"
I_0021,Fashion,15.3,"military, state, else"
I_0022,Books,40.08,"head, seek, them"
I_0023,Beauty,11.95,"run, brother, tonight"
I_0024,Electronics,33.51,"friend, investment, model"
I_0025,Beauty,45.1,"enjoy, window, physical"
I_0026,Fashion,29.26,"many, member, area"
I_0027,Home,58.62,"teacher, cold, church"
I_0028,Fashion,35.85,"significant, thus, purpose"
I_0029,Beauty,21.8,"boy, scientist, able"
I_0030,Beauty,21.04,"teach, activity, animal"
I_0031,Fashion,63.35,"hair, turn, condition"
I_0032,Fashion,19.63,"whether, along, sort"
I_0033,Fashion,68.88,"research, pretty, different"
I_0034,Electronics,88.07,"eat, trouble, floor"
I_0035,Beauty,8.71,"step, number, budget"
I_0036,Books,81.97,"pull, apply, development"
I_0037,Electronics,172.15,"middle, animal, husband"
I_0038,Electronics,40.51,"theory, tend, similar"
I_0039,Electronics,53.48,"financial, beat, lead"
I_0040,Books,75.91,"hard, factor, six"
I_0041,Fashion,26.57,"science, drug, happy"
I_0042,Beauty,38.31,"will, young, simply"
I_0043,Home,11.57,"run, national, somebody"
I_0044,Home,37.0,"character, usually, agency"
I_0045,Beauty,49.33,"must, player, really"
I_0046,Books,50.05,"act, friend, serve"
I_0047,Home,77.66,"heavy, scene, film"
I_0048,Electronics,17.82,"day, work, information"
I_0049,Home,21.63,"which, win, central"
I_0050,Beauty,150.87,"evidence, analysis, discuss"
I_0051,Electronics,29.36,"suddenly, including, time"
I_0052,Home,38.86,"learn, security, oil"
I_0053,Beauty,31.39,"measure, PM, hour"
I_0054,Books,17.16,"option, artist, production"
I_0055,Beauty,121.37,"candidate, factor, surface"
I_0056,Books,21.71,"unit, hotel, story"
I_0057,Electronics,13.44,"for, laugh, do"
I_0058,Beauty,23.09,"want, carry, show"
I_0059,Fashion,6.68,"board, black, last"
I_0060,Fashion,19.67,"finish, building, group"
I_0061,Fashion,15.26,"show, later, leg"
I_0062,Fashion,54.27,"system, bed, space"
I_0063,Fashion,19.32,"fight, relate, owner"
I_0064,Books,67.37,"Democrat, task, chance"
I_0065,Beauty,101.37,"represent, why, how"
I_0066,Electronics,61.86,"any, federal, star"
I_0067,Fashion,27.87,"community, weight, take"
I_0068,Fashion,37.07,"new, nearly, behind"
I_0069,Electronics,9.78,"big, soldier, building"
I_0070,Electronics,29.75,"article, sit, develop"
I_0071,Fashion,16.64,"cup, hundred, rather"
I_0072,Books,57.71,"visit, base, only"
I_0073,Electronics,259.36,"true, avoid, young"
I_0074,Beauty,49.4,"cup, position, speak"
I_0075,Beauty,6.73,"begin, suggest, speak"
I_0076,Books,24.8,"business, walk, anything"
I_0077,Home,36.52,"under, item, right"
I_0078,Books,35.51,"many, him, interview"
I_0079,Fashion,18.46,"government, traditional, every"
I_0080,Home,40.3,"land, chance, pass"
I_0081,Fashion,12.26,"pay, positive, material"
I_0082,Beauty,15.55,"third, look, because"
I_0083,Electronics,55.51,"him, information, poor"
I_0084,Fashion,14.69,"something, eat, yes"
I_0085,Beauty,50.94,"myself, affect, him"
I_0086,Books,11.07,"require, look, sit"
I_0087,Fashion,135.89,"general, not, focus"
I_0088,Beauty,17.82,"establish, ago, others"
I_0089,Electronics,27.69,"ahead, specific, exactly"
I_0090,Fashion,43.14,"speak, line, group"
I_0091,Beauty,21.07,"once, do, city"
I_0092,Fashion,37.14,"easy, drop, move"
I_0093,Electronics,52.47,"social, say, shake"
I_0094,Fashion,71.41,"way, offer, work"
I_0095,Fashion,62.38,"home, very, yard"
I_0096,Beauty,28.86,"community, door, fish"
I_0097,Home,29.45,"scene, grow, option"
I_0098,Fashion,216.87,"region, goal, nothing"
I_0099,Home,70.8,"center, way, student"
I_0100,Books,15.84,"special, wife, my"
I_0101,Fashion,35.87,"compare, also, argue"
I_0102,Home,25.33,"own, after, long"
I_0103,Books,29.72,"forward, pass, southern"
I_0104,Beauty,12.38,"future, concern, sort"
I_0105,Fashion,23.82,"than, arrive, challenge"
I_0106,Beauty,141.07,"relate, center, book"
I_0107,Books,52.63,"money, half, authority"
I_0108,Beauty,4.51,"relate, product, only"
I_0109,Beauty,87.65,"from, follow, wish"
I_0110,Electronics,79.18,"run, join, police"
I_0111,Books,24.84,"maintain, fish, religious"
I_0112,Beauty,58.78,"no, threat, party"
I_0113,Home,16.65,"ground, program, sport"
I_0114,Books,22.73,"her, safe, family"
I_0115,Electronics,109.82,"concern, ability, reduce"
I_0116,Fashion,26.65,"of, surface, side"
I_0117,Beauty,7.42,"nothing, consider, fish"
I_0118,Home,31.48,"speak, particularly, policy"
I_0119,Electronics,31.1,"bit, many, former"
I_0120,Books,86.37,"back, get, floor"
I_0121,Beauty,33.5,"player, white, start"
I_0122,Electronics,23.64,"prove, role, from"
I_0123,Electronics,76.4,"activity, decide, really"
I_0124,Home,36.48,"go, skin, result"
I_0125,Fashion,18.17,"answer, just, information"
I_0126,Fashion,83.43,"coach, increase, think"
I_0127,Fashion,38.66,"goal, heart, stock"
I_0128,Books,33.19,"small, official, serve"
I_0129,Electronics,38.18,"difficult, later, son"
I_0130,Books,14.06,"almost, after, end"
I_0131,Electronics,21.71,"bit, game, thousand"
I_0132,Home,33.21,"claim, avoid, walk"
I_0133,Home,28.34,"within, full, world"
I_0134,Books,91.65,"throw, relate, issue"
I_0135,Books,39.41,"president, parent, its"
I_0136,Home,65.62,"approach, former, window"
I_0137,Beauty,33.37,"important, never, understand"
I_0138,Fashion,77.09,"music, produce, father"
I_0139,Fashion,45.51,"benefit, hotel, near"
I_0140,Home,33.47,"make, approach, about"
I_0141,Fashion,32.77,"because, station, person"
I_0142,Beauty,15.43,"lose, best, deal"
I_0143,Beauty,49.68,"point, with, list"
I_0144,Electronics,32.07,"break, size, likely"
I_0145,Books,22.16,"thus, enter, politics"
I_0146,Fashion,80.25,"hold, he, high"
I_0147,Beauty,12.18,"cost, and, keep"
I_0148,Books,23.62,"enjoy, student, nor"
I_0149,Books,75.35,"character, recent, benefit"
I_0150,Electronics,42.62,"property, space, including"
I_0151,Books,31.87,"series, dinner, article"
I_0152,Books,40.48,"hit, mission, whole"
I_0153,Home,38.23,"reach, view, of"
I_0154,Electronics,9.84,"dog, federal, house"
I_0155,Electronics,25.04,"take, alone, number"
I_0156,Fashion,120.69,"might, number, work"
I_0157,Books,19.54,"challenge, we, last"
I_0158,Fashion,25.67,"we, cold, deep"
I_0159,Beauty,21.47,"cover, amount, bad"
I_0160,Books,30.89,"raise, dark, state"
I_0161,Beauty,20.77,"challenge, organization, floor"
I_0162,Home,48.88,"road, southern, beautiful"
I_0163,Books,38.78,"news, need, task"
I_0164,Fashion,61.49,"mind, true, actually"
I_0165,Fashion,14.29,"red, onto, site"
I_0166,Books,25.22,"both, change, note"
I_0167,Fashion,27.64,"old, who, beyond"
I_0168,Books,47.68,"black, single, size"
I_0169,Electronics,17.56,"test, they, there"
I_0170,Fashion,68.89,"enough, pressure, occur"
I_0171,Books,85.55,"list, common, idea"
I_0172,Books,15.01,"peace, race, I"
I_0173,Fashion,22.36,"how, these, real"
I_0174,Electronics,21.64,"any, little, environmental"
I_0175,Fashion,272.03,"head, full, soldier"
I_0176,Books,23.48,"financial, successful, teach"
I_0177,Electronics,126.74,"range, win, direction"
I_0178,Beauty,12.02,"feel, season, similar"
I_0179,Home,15.0,"fly, rock, painting"
I_0180,Fashion,19.12,"become, kid, tree"
I_0181,Books,16.83,"imagine, machine, might"
I_0182,Electronics,26.73,"hear, argue, social"
I_0183,Electronics,18.78,"assume, remember, idea"
I_0184,Beauty,17.19,"sister, modern, notice"
I_0185,Fashion,83.66,"community, themselves, customer"
I_0186,Electronics,88.15,"arm, almost, anything"
I_0187,Beauty,70.77,"growth, current, happy"
I_0188,Books,50.36,"less, however, type"
I_0189,Beauty,35.67,"race, drop, major"
I_0190,Fashion,22.25,"land, whether, listen"
I_0191,Beauty,15.45,"necessary, general, study"
I_0192,Electronics,44.27,"else, store, bed"
I_0193,Electronics,12.95,"agree, anyone, take"
I_0194,Home,14.95,"sister, Democrat, determine"
I_0195,Beauty,83.29,"different, deal, prepare"
I_0196,Books,151.49,"message, ten, whose"
I_0197,Fashion,45.36,"radio, listen, car"
I_0198,Home,80.25,"community, song, difference"
I_0199,Beauty,27.2,"part, wall, require"
I_0200,Books,11.36,"remember, every, time"
I_0201,Home,54.04,"surface, learn, design"
I_0202,Electronics,52.22,"few, minute, perhaps"
I_0203,Fashion,35.07,"once, account, yourself"
I_0204,Beauty,27.28,"whom, style, no"
I_0205,Books,71.51,"order, executive, range"
I_0206,Electronics,15.05,"loss, from, everybody"
I_0207,Home,17.83,"foot, everybody, prevent"
I_0208,Fashion,14.78,"weight, prepare, could"
I_0209,Home,35.44,"military, drive, arm"
I_0210,Home,13.87,"tax, special, identify"
I_0211,Books,19.16,"floor, cause, agent"
I_0212,Electronics,18.83,"market, fast, trade"
I_0213,Beauty,26.88,"identify, say, on"
I_0214,Books,10.08,"yes, staff, gas"
I_0215,Fashion,35.51,"require, rather, point"
I_0216,Home,89.82,"little, wait, grow"
I_0217,Fashion,36.91,"feel, color, price"
I_0218,Books,113.64,"next, family, likely"
I_0219,Books,96.27,"scientist, rise, next"
I_0220,Beauty,61.69,"tree, water, tonight"
I_0221,Home,35.15,"pressure, develop, development"
I_0222,Books,33.72,"the, inside, thought"
I_0223,Fashion,61.01,"he, one, less"
I_0224,Beauty,24.21,"brother, approach, plant"
