user_id,age,gender,location,user_segment
U_0000,56,M,Northern Mariana Islands,Techie
U_0001,69,F,Bouvet Island (Bouvetoya),General
U_0002,46,M,Anguilla,Budget
U_0003,32,M,Saint Vincent and the Grenadines,Premium
U_0004,60,F,Falkland Islands (Malvinas),General
U_0005,25,F,Ecuador,Premium
U_0006,38,F,Czech Republic,Budget
U_0007,56,F,Burundi,Premium
U_0008,36,M,Saint Pierre and Miquelon,Premium
U_0009,40,F,Bosnia and Herzegovina,General
U_0010,28,F,Philippines,General
U_0011,28,Non-Binary,Saint Vincent and the Grenadines,Techie
U_0012,41,F,Uganda,General
U_0013,53,F,Mayotte,Techie
U_0014,57,Non-Binary,Benin,Budget
U_0015,41,Non-Binary,Nauru,Budget
U_0016,20,M,Jamaica,Premium
U_0017,39,Non-Binary,Antigua and Barbuda,Budget
U_0018,19,M,Antarctica (the territory South of 60 deg S),General
U_0019,41,Non-Binary,Bermuda,General
U_0020,61,Non-Binary,Cuba,Budget
U_0021,47,M,Djibouti,Techie
U_0022,55,Non-Binary,Madagascar,General
U_0023,19,M,Netherlands,General
U_0024,38,Non-Binary,Anguilla,General
U_0025,50,F,Monaco,Techie
U_0026,29,Non-Binary,Congo,General
U_0027,39,M,Saint Barthelemy,Techie
U_0028,61,Non-Binary,Pakistan,Techie
U_0029,42,M,Reunion,Budget
U_0030,66,M,Mayotte,Budget
U_0031,44,F,Italy,Techie
U_0032,59,F,Cyprus,Budget
U_0033,45,M,Kiribati,Budget
U_0034,33,Non-Binary,Namibia,General
U_0035,32,M,Fiji,Budget
U_0036,64,M,Sudan,Techie
U_0037,68,Non-Binary,Trinidad and Tobago,Techie
U_0038,61,Non-Binary,Albania,General
U_0039,69,Non-Binary,Senegal,Techie
U_0040,20,Non-Binary,Sri Lanka,Budget
U_0041,54,M,Cayman Islands,Techie
U_0042,68,M,Qatar,General
U_0043,24,F,Jamaica,General
U_0044,38,M,Guam,Premium
U_0045,26,Non-Binary,Fiji,Premium
U_0046,56,F,Cape Verde,General
U_0047,35,Non-Binary,Cuba,Budget
U_0048,21,M,Serbia,Techie
U_0049,42,F,Guadeloupe,Premium
U_0050,31,Non-Binary,Bosnia and Herzegovina,Budget
U_0051,67,F,Bermuda,Premium
U_0052,26,F,Hong Kong,Budget
U_0053,43,M,Bhutan,General
U_0054,19,Non-Binary,Guinea-Bissau,General
U_0055,37,F,Tanzania,Budget
U_0056,45,F,Guatemala,General
