Year,State Name,CurrentYearProduction,PreviousYearProduction,GrowthRatePercentage
1969,Gujarat,295300000.0,0.0,0.0
1971,Gujarat,451400000.0,295300000.0,52.86149678293261
1972,Gujarat,292700000.0,451400000.0,-35.15728843597696
1973,Gujarat,312600000.0,292700000.0,6.798770071745815
1974,Gujarat,254200000.0,312600000.0,-18.682021753039027
1976,Gujarat,317000000.0,254200000.0,24.704956726986623
1977,Gujarat,366500000.0,317000000.0,15.615141955835963
1978,Gujarat,374100000.0,366500000.0,2.0736698499317874
1979,Gujarat,303600000.0,374100000.0,-18.845228548516438
1980,Gujarat,291500000.0,303600000.0,-3.9855072463768115
1981,Gujarat,356500000.0,291500000.0,22.29845626072041
1982,Gujarat,263000000.0,356500000.0,-26.227208976157083
1983,Gujarat,245700000.0,263000000.0,-6.577946768060836
1984,Gujarat,351800000.0,245700000.0,43.18274318274318
1985,Gujarat,337800000.0,351800000.0,-3.9795338260375215
1986,Gujarat,186500000.0,337800000.0,-44.78981645944346
1987,Gujarat,55100000.0,186500000.0,-70.45576407506702
1988,Gujarat,249600000.0,55100000.0,352.994555353902
1989,Gujarat,298500000.0,249600000.0,19.591346153846153
1990,Gujarat,260240000.0,298500000.0,-12.817420435510888
1991,Gujarat,204470000.0,260240000.0,-21.43021826006763
1992,Gujarat,350990000.0,204470000.0,71.65843400009781
1993,Gujarat,297350000.0,350990000.0,-15.282486680532209
1994,Gujarat,0.0,297350000.0,-100.0
1995,Gujarat,409270000.0,0.0,0.0
1996,Gujarat,451830000.0,409270000.0,10.399003103085983
1997,Gujarat,580890000.0,451830000.0,28.563840382444724
1998,Gujarat,680640000.0,580890000.0,17.171925837938335
1999,Gujarat,364740000.0,680640000.0,-46.41220028208745
2000,Gujarat,211250000.0,364740000.0,-42.08203103580633
2001,Gujarat,286400000.0,211250000.0,35.57396449704142
2002,Gujarat,320290000.0,286400000.0,11.833100558659218
2003,Gujarat,684580000.0,320290000.0,113.73755034499985
2004,Gujarat,925390000.0,684580000.0,35.17631248356657
2005,Gujarat,1168210000.0,925390000.0,26.239747565891136
2006,Gujarat,1339030000.0,1168210000.0,14.622370977820768
2007,Gujarat,1406880000.0,1339030000.0,5.067100811781663
2008,Gujarat,1192320000.0,1406880000.0,-15.250767656090071
2009,Gujarat,1258160000.0,1192320000.0,5.522007514761138
2010,Gujarat,1670310000.0,1258160000.0,32.758154765689575
2011,Gujarat,1763700000.0,1670310000.0,5.591177685579324
2012,Gujarat,841670000.0,1763700000.0,-52.278165220842546
2013,Gujarat,1892070000.0,841670000.0,124.7995057445317
2014,Gujarat,1662040000.0,1892070000.0,-12.157584021732811
2015,Gujarat,1357650000.0,1662040000.0,-18.314240331159297
2016,Gujarat,928020000.0,1357650000.0,-31.645122085957354
2017,Gujarat,1820280000.0,928020000.0,96.14663477080235
1969,Haryana,56600000.0,0.0,0.0
1972,Haryana,78600000.0,56600000.0,38.869257950530034
1976,Haryana,85800000.0,78600000.0,9.16030534351145
1980,Haryana,8100000.0,85800000.0,-90.55944055944056
1985,Haryana,124900000.0,8100000.0,1441.9753086419753
1988,Haryana,143600000.0,124900000.0,14.971977582065653
1990,Haryana,196350000.0,143600000.0,36.73398328690808
1991,Haryana,227970000.0,196350000.0,16.103896103896105
1992,Haryana,239870000.0,227970000.0,5.219985085756898
1993,Haryana,191080000.0,239870000.0,-20.340184266477674
1994,Haryana,233070000.0,191080000.0,21.97508896797153
1995,Haryana,222670000.0,233070000.0,-4.462178744583173
1996,Haryana,256190000.0,222670000.0,15.053666861274532
1997,Haryana,188190000.0,256190000.0,-26.542800265428003
1998,Haryana,148590000.0,188190000.0,-21.04256336681014
1999,Haryana,221690000.0,148590000.0,49.19577360522242
2000,Haryana,235110000.0,221690000.0,6.053498128016599
2001,Haryana,122750000.0,235110000.0,-47.79039598485815
2002,Haryana,176460000.0,122750000.0,43.75560081466395
2003,Haryana,239190000.0,176460000.0,35.54913294797688
2004,Haryana,352750000.0,239190000.0,47.47690120824449
2005,Haryana,255340000.0,352750000.0,-27.6144578313253
2006,Haryana,306850000.0,255340000.0,20.173102529960055
2007,Haryana,319940000.0,306850000.0,4.265927977839335
2008,Haryana,317420000.0,319940000.0,-0.7876476839407389
2009,Haryana,326060000.0,317420000.0,2.721945687102262
2010,Haryana,295670000.0,326060000.0,-9.320370483960007
2011,Haryana,445560000.0,295670000.0,50.695031623093314
2012,Haryana,404260000.0,445560000.0,-9.269234222102522
2013,Haryana,344590000.0,404260000.0,-14.760302775441547
2014,Haryana,329630000.0,344590000.0,-4.341391218549581
2015,Haryana,179110000.0,329630000.0,-45.663319479416316
2016,Haryana,367390000.0,179110000.0,105.11975880743677
2017,Haryana,292680000.0,367390000.0,-20.335338468657284
1968,Maharashtra,0.0,0.0,0.0
1969,Maharashtra,0.0,0.0,0.0
1970,Maharashtra,0.0,0.0,0.0
1971,Maharashtra,0.0,0.0,0.0
1972,Maharashtra,188600000.0,0.0,0.0
1973,Maharashtra,188100000.0,188600000.0,-0.2651113467656416
1974,Maharashtra,280800000.0,188100000.0,49.282296650717704
1975,Maharashtra,139000000.0,280800000.0,-50.4985754985755
1976,Maharashtra,150800000.0,139000000.0,8.489208633093526
1977,Maharashtra,221400000.0,150800000.0,46.816976127320956
1978,Maharashtra,228900000.0,221400000.0,3.3875338753387534
1979,Maharashtra,273600000.0,228900000.0,19.528178243774573
1980,Maharashtra,210200000.0,273600000.0,-23.172514619883042
1981,Maharashtra,238200000.0,210200000.0,13.320647002854423
1982,Maharashtra,257100000.0,238200000.0,7.934508816120907
1983,Maharashtra,139000000.0,257100000.0,-45.93543368339168
1984,Maharashtra,249400000.0,139000000.0,79.42446043165468
1985,Maharashtra,338500000.0,249400000.0,35.72574178027266
1986,Maharashtra,153300000.0,338500000.0,-54.711964549483014
1987,Maharashtra,255600000.0,153300000.0,66.73189823874755
1988,Maharashtra,233600000.0,255600000.0,-8.60719874804382
1989,Maharashtra,375700000.0,233600000.0,60.830479452054796
1990,Maharashtra,318790000.0,375700000.0,-15.147724248070269
1991,Maharashtra,196540000.0,318790000.0,-38.348128862260424
1992,Maharashtra,307310000.0,196540000.0,56.36002849292765
1993,Maharashtra,446350000.0,307310000.0,45.24421593830334
1994,Maharashtra,401330000.0,446350000.0,-10.08625518091184
1995,Maharashtra,475850000.0,401330000.0,18.568260533725365
1996,Maharashtra,534380000.0,475850000.0,12.300094567615846
1997,Maharashtra,288490000.0,534380000.0,-46.01407238294846
1998,Maharashtra,443860000.0,288490000.0,53.85628617976359
1999,Maharashtra,511420000.0,443860000.0,15.221015635560763
2000,Maharashtra,306460000.0,511420000.0,-40.07664932931837
2001,Maharashtra,457250000.0,306460000.0,49.20381126411277
2002,Maharashtra,441350000.0,457250000.0,-3.4773100054674684
2003,Maharashtra,523630000.0,441350000.0,18.642800498470603
2004,Maharashtra,501750000.0,523630000.0,-4.178523002883716
2005,Maharashtra,537230000.0,501750000.0,7.07125062282013
2006,Maharashtra,784960000.0,537230000.0,46.112465796772334
2007,Maharashtra,1192550000.0,784960000.0,51.92493885038728
2008,Maharashtra,807910000.0,1192550000.0,-32.253574273615364
2009,Maharashtra,868950000.0,807910000.0,7.555297000903566
2010,Maharashtra,1270380000.0,868950000.0,46.19713447263939
2011,Maharashtra,1159470000.0,1270380000.0,-8.730458602937704
2012,Maharashtra,1154800000.0,1159470000.0,-0.40277023122633615
2013,Maharashtra,1590150000.0,1154800000.0,37.69916868721857
2014,Maharashtra,643900000.0,1590150000.0,-59.50696475175298
2015,Maharashtra,704510000.0,643900000.0,9.412952321789097
2016,Maharashtra,1935900000.0,704510000.0,174.78673120324765
2017,Maharashtra,1096830000.0,1935900000.0,-43.34263133426313
1968,Punjab,132700000.0,0.0,0.0
1969,Punjab,143900000.0,132700000.0,8.440090429540316
1970,Punjab,147300000.0,143900000.0,2.36275191104934
1971,Punjab,174100000.0,147300000.0,18.194161575016974
1972,Punjab,182900000.0,174100000.0,5.054566341183228
1973,Punjab,187400000.0,182900000.0,2.4603608529250955
1974,Punjab,214900000.0,187400000.0,14.674493062966915
1975,Punjab,224600000.0,214900000.0,4.513727315030247
1976,Punjab,203200000.0,224600000.0,-9.528049866429207
1977,Punjab,220400000.0,203200000.0,8.464566929133857
1978,Punjab,200100000.0,220400000.0,-9.210526315789474
1979,Punjab,207500000.0,200100000.0,3.6981509245377313
1980,Punjab,200100000.0,207500000.0,-3.566265060240964
1981,Punjab,216000000.0,200100000.0,7.946026986506746
1983,Punjab,120400000.0,216000000.0,-44.25925925925926
1984,Punjab,210300000.0,120400000.0,74.66777408637874
1985,Punjab,238300000.0,210300000.0,13.314312886352829
1986,Punjab,287400000.0,238300000.0,20.604280318925724
1990,Punjab,351250000.0,287400000.0,22.21642310368824
1991,Punjab,409750000.0,351250000.0,16.654804270462634
1992,Punjab,399140000.0,409750000.0,-2.5893837705918243
1993,Punjab,258210000.0,399140000.0,-35.3084130881395
1994,Punjab,303260000.0,258210000.0,17.447039231633166
1995,Punjab,289400000.0,303260000.0,-4.5703356855503525
1996,Punjab,317440000.0,289400000.0,9.68901174844506
1997,Punjab,159130000.0,317440000.0,-49.87084173387097
1998,Punjab,101110000.0,159130000.0,-36.460755357255074
1999,Punjab,161500000.0,101110000.0,59.72702996736228
2000,Punjab,203320000.0,161500000.0,25.894736842105264
2001,Punjab,222190000.0,203320000.0,9.280936454849499
2002,Punjab,184450000.0,222190000.0,-16.985462892119358
2003,Punjab,251260000.0,184450000.0,36.22119815668203
2004,Punjab,354960000.0,251260000.0,41.27198917456022
2005,Punjab,407300000.0,354960000.0,14.74532341672301
2006,Punjab,455080000.0,407300000.0,11.730910876503806
2007,Punjab,400210000.0,455080000.0,-12.057220708446867
2008,Punjab,388250000.0,400210000.0,-2.9884310736863147
2009,Punjab,341020000.0,388250000.0,-12.16484224082421
2010,Punjab,309640000.0,341020000.0,-9.201806345668876
2011,Punjab,275360000.0,309640000.0,-11.070921069629247
2012,Punjab,292860000.0,275360000.0,6.3553166763509585
2013,Punjab,269100000.0,292860000.0,-8.113091579594345
2014,Punjab,241560000.0,269100000.0,-10.234113712374581
2015,Punjab,70740000.0,241560000.0,-70.71535022354695
2016,Punjab,228060000.0,70740000.0,222.39185750636133
2017,Punjab,230940000.0,228060000.0,1.2628255722178374
1968,Telangana,5500000.0,0.0,0.0
1969,Telangana,7800000.0,5500000.0,41.81818181818182
1970,Telangana,8300000.0,7800000.0,6.410256410256411
1971,Telangana,10900000.0,8300000.0,31.325301204819276
1972,Telangana,8400000.0,10900000.0,-22.93577981651376
1973,Telangana,10400000.0,8400000.0,23.80952380952381
1974,Telangana,13500000.0,10400000.0,29.807692307692307
1975,Telangana,4600000.0,13500000.0,-65.92592592592592
1976,Telangana,4900000.0,4600000.0,6.521739130434782
1977,Telangana,11300000.0,4900000.0,130.6122448979592
1978,Telangana,11900000.0,11300000.0,5.3097345132743365
1979,Telangana,15500000.0,11900000.0,30.252100840336134
1980,Telangana,25100000.0,15500000.0,61.935483870967744
1981,Telangana,24400000.0,25100000.0,-2.7888446215139444
1982,Telangana,21100000.0,24400000.0,-13.524590163934427
1983,Telangana,33600000.0,21100000.0,59.241706161137444
1984,Telangana,22400000.0,33600000.0,-33.333333333333336
1985,Telangana,31100000.0,22400000.0,38.839285714285715
1986,Telangana,25600000.0,31100000.0,-17.684887459807072
1987,Telangana,34900000.0,25600000.0,36.328125
1988,Telangana,23600000.0,34900000.0,-32.378223495702
1989,Telangana,56900000.0,23600000.0,141.10169491525423
1990,Telangana,67220000.0,56900000.0,18.13708260105448
1991,Telangana,71100000.0,67220000.0,5.772091639393038
1992,Telangana,73190000.0,71100000.0,2.939521800281294
1993,Telangana,84150000.0,73190000.0,14.974723322858313
1994,Telangana,108460000.0,84150000.0,28.88888888888889
1995,Telangana,123250000.0,108460000.0,13.636363636363637
1996,Telangana,147220000.0,123250000.0,19.448275862068964
1997,Telangana,95710000.0,147220000.0,-34.98845265588915
1998,Telangana,183770000.0,95710000.0,92.00710479573712
1999,Telangana,175510000.0,183770000.0,-4.494748870871198
2000,Telangana,172510000.0,175510000.0,-1.7093043131445502
2001,Telangana,195300000.0,172510000.0,13.21082835777636
2002,Telangana,118320000.0,195300000.0,-39.416282642089094
2003,Telangana,182890000.0,118320000.0,54.57234617985125
2004,Telangana,199180000.0,182890000.0,8.906993274645963
2005,Telangana,240330000.0,199180000.0,20.659704789637512
2006,Telangana,253800000.0,240330000.0,5.604793409062539
2007,Telangana,421670000.0,253800000.0,66.14263199369583
2008,Telangana,431950000.0,421670000.0,2.4379253918941353
2009,Telangana,397320000.0,431950000.0,-8.017131612455145
2010,Telangana,515920000.0,397320000.0,29.849994966274036
2011,Telangana,389910000.0,515920000.0,-24.42432935338812
2012,Telangana,689710000.0,389910000.0,76.88953861147445
2013,Telangana,767750000.0,689710000.0,11.314900465413
2014,Telangana,645000000.0,767750000.0,-15.988277434060567
2015,Telangana,671940000.0,645000000.0,4.176744186046512
2016,Telangana,619980000.0,671940000.0,-7.73283328868649
2017,Telangana,935190000.0,619980000.0,50.84196264395626
