Year,State Name,Year_Wise_Rice_Production_kg
1968,Punjab,469500000.0
1969,Punjab,534600000.0
1970,Punjab,685000000.0
1971,Punjab,919000000.0
1972,Punjab,955000000.0
1973,Punjab,1179000000.0
1974,Punjab,1179000000.0
1975,Punjab,1449000000.0
1976,Punjab,1741000000.0
1977,Punjab,2411000000.0
1978,Punjab,3073000000.0
1979,Punjab,3041000000.0
1979,Uttar Pradesh,2087000000.0
1980,Punjab,2934000000.0
1981,Punjab,3755000000.0
1981,Uttar Pradesh,5478800000.0
1982,Uttar Pradesh,5136000000.0
1983,Punjab,4536000000.0
1983,Uttar Pradesh,6325900000.0
1984,Punjab,5057000000.0
1984,Uttar Pradesh,6680300000.0
1985,Punjab,5448000000.0
1985,Uttar Pradesh,7747200000.0
1986,Punjab,6022000000.0
1986,Uttar Pradesh,6713800000.0
1987,Uttar Pradesh,6041200000.0
1989,Uttar Pradesh,9784400000.0
1990,Punjab,6511000000.0
1990,Uttar Pradesh,9721210000.0
1990,West Bengal,9668010000.0
1991,Punjab,6748000000.0
1991,Uttar Pradesh,8917070000.0
1991,West Bengal,11203200000.0
1992,Punjab,7031000000.0
1992,Uttar Pradesh,9195800000.0
1992,West Bengal,10640430000.0
1993,Punjab,7645000000.0
1993,Uttar Pradesh,9687840000.0
1993,West Bengal,11252380000.0
1994,Punjab,7702000000.0
1994,Uttar Pradesh,9832350000.0
1994,West Bengal,11387820000.0
1995,Punjab,6845000000.0
1995,Uttar Pradesh,9844140000.0
1995,West Bengal,11082000000.0
1996,Punjab,7334000000.0
1996,Uttar Pradesh,11249530000.0
1996,West Bengal,12636780000.0
1997,Punjab,7890000000.0
1997,Uttar Pradesh,11736930000.0
1997,West Bengal,13236590000.0
1998,Punjab,7993000000.0
1998,Uttar Pradesh,10881580000.0
1998,West Bengal,13316450000.0
1999,Punjab,8716000000.0
1999,Uttar Pradesh,12690170000.0
1999,West Bengal,13699680000.0
2000,Punjab,9157000000.0
2000,Uttar Pradesh,11727910000.0
2000,West Bengal,12428050000.0
2001,Punjab,8824000000.0
2001,Uttar Pradesh,12901410000.0
2001,West Bengal,15256680000.0
2002,Punjab,8880000000.0
2002,Uttar Pradesh,9630530000.0
2002,West Bengal,14389240000.0
2003,Punjab,9656000000.0
2003,Uttar Pradesh,12524560000.0
2003,West Bengal,14662240000.0
2004,Punjab,10437000000.0
2004,Uttar Pradesh,9599560000.0
2004,West Bengal,14884910000.0
2005,Punjab,10193000000.0
2005,Uttar Pradesh,11787280000.0
2005,West Bengal,14510800000.0
2006,Punjab,10138000000.0
2006,Uttar Pradesh,10940170000.0
2006,West Bengal,14745900000.0
2007,Punjab,10489000000.0
2007,Uttar Pradesh,11913300000.0
2007,West Bengal,14719500000.0
2008,Punjab,11000000000.0
2008,Uttar Pradesh,13080930000.0
2008,West Bengal,15037300000.0
2009,Punjab,11236000000.0
2009,Uttar Pradesh,11840150000.0
2009,West Bengal,14340600000.0
2010,Punjab,10819000000.0
2010,Uttar Pradesh,12363540000.0
2010,West Bengal,13389620000.0
2011,Punjab,10542000000.0
2011,Uttar Pradesh,13949630000.0
2011,West Bengal,14610280000.0
2012,Punjab,11390000000.0
2012,Uttar Pradesh,13182310000.0
2012,West Bengal,14946740000.0
2013,Punjab,11267000000.0
2013,Uttar Pradesh,14588970000.0
2013,West Bengal,15376880000.0
2014,Punjab,11107000000.0
2014,Uttar Pradesh,13346030000.0
2014,West Bengal,15927200000.0
2015,Punjab,11823000000.0
2015,Uttar Pradesh,12531730000.0
2015,West Bengal,15948260000.0
2016,Punjab,12638000000.0
2016,Uttar Pradesh,14500800000.0
2016,West Bengal,15106320000.0
2017,Punjab,13382000000.0
2017,Uttar Pradesh,15551390000.0
2017,West Bengal,15658940000.0
